"","counts","P","N","PR","NR","tfP","tfN","negativity"
"Help",101,22,79,180,185,0.561111111111111,0.713513513513514,1.27160824190527
"Associate",128,36,92,180,185,0.6,0.748648648648649,1.24774774774775
"Time",154,51,103,180,185,0.641666666666667,0.778378378378378,1.21305721305721
"Jewelry",79,18,61,180,185,0.55,0.664864864864865,1.20884520884521
"Management",44,7,37,180,185,0.519444444444444,0.6,1.15508021390374
"Website",28,5,23,180,185,0.513888888888889,0.562162162162162,1.09393718042367
"Macy's Card",70,26,44,180,185,0.572222222222222,0.618918918918919,1.08160587772238
"Returns",25,5,20,180,185,0.513888888888889,0.554054054054054,1.0781592403214
"Clothing",122,52,70,180,185,0.644444444444444,0.689189189189189,1.06943150046598
"Cosmetics",50,18,32,180,185,0.55,0.586486486486486,1.06633906633907
"Women",55,21,34,180,185,0.558333333333333,0.591891891891892,1.0601048810004
"Delivery",15,2,13,180,185,0.505555555555556,0.535135135135135,1.05850905850906
"Dillard's",16,3,13,180,185,0.508333333333333,0.535135135135135,1.05272485600354
"Display",11,1,10,180,185,0.502777777777778,0.527027027027027,1.04823055099298
"Register",29,10,19,180,185,0.527777777777778,0.551351351351351,1.04466571834993
"Watches",36,14,22,180,185,0.538888888888889,0.55945945945946,1.03817219281137
"Bathroom",8,1,7,180,185,0.502777777777778,0.518918918918919,1.03210392713155
"Customer Service",138,65,73,180,185,0.680555555555556,0.697297297297297,1.0246001103144
"Men",69,32,37,180,185,0.588888888888889,0.6,1.0188679245283
"Clean",36,16,20,180,185,0.544444444444444,0.554054054054054,1.01765030336459
"Mattress",3,0,3,180,185,0.5,0.508108108108108,1.01621621621622
"Wedding",18,9,9,180,185,0.525,0.524324324324324,0.998712998712999
"Lamps",3,2,1,180,185,0.505555555555556,0.502702702702703,0.994356994356994
"Bedding",23,12,11,180,185,0.533333333333333,0.52972972972973,0.993243243243243
"Furniture",49,25,24,180,185,0.569444444444444,0.564864864864865,0.991957811470007
"Fashion",48,25,23,180,185,0.569444444444444,0.562162162162162,0.987211601845748
"Kohl's",3,3,0,180,185,0.508333333333333,0.5,0.983606557377049
"Purse",12,8,4,180,185,0.522222222222222,0.510810810810811,0.978148361127084
"Location",79,44,35,180,185,0.622222222222222,0.594594594594595,0.955598455598456
"Price",40,25,15,180,185,0.569444444444444,0.540540540540541,0.949241924851681
"Quality",28,19,9,180,185,0.552777777777778,0.524324324324324,0.948526415863099
"Shoes",153,84,69,180,185,0.733333333333333,0.686486486486486,0.936117936117936
"Deal",368,208,160,180,185,1.07777777777778,0.932432432432432,0.865143494009473
